0.905152	-2.627444	-3.532596	17	Fully Homomorphic Encryption (FHE) allows for arbitrary computation over encrypted data.
0.893200	-2.252147	-3.145347	17	Fully Homomorphic Encryption (FHE) allows for secure computation on encrypted data.
0.734161	-3.327914	-4.062075	26	Membership inference (MI) is a threat model for quantifying how accurately an adversary can identify members of the training data in ML.
0.715775	-3.589555	-4.305330	21	Direct Anonymous Attestation (DAA) is a cryptographic primitive which enables anonymous remote authentication of a trusted computer.
0.707437	-2.472578	-3.180015	23	A Physically Unclonable Function (PUF) is a hardware security primitive used for authentication and key generation.
0.664876	-4.044392	-4.709268	32	Module learning with errors problem (MLWE) is a generalization of RLWE and was proven to be at least as hard as ring LWE problem [24].
0.648894	-2.523847	-3.172741	27	Fully homomorphic encryption (FHE) is a cryptographic approach that enables the evaluation of arbitrary functions 𝑓 over encrypted data.
0.633203	-3.492697	-4.125901	39	Different from Adversarial Examples (AE) where the adversarial perturbation is strictly bounded, a backdoor attacker can inject a trigger with an arbitrary size, location, and content to the samples.
0.614409	-4.240059	-4.854468	19	Byzantine Fault Tolerance (BFT) and redundancy remain essential for fault tolerance and consistency.
0.613322	-2.514446	-3.127768	34	Secure Multi-Party Computation (MPC) is a method which enables a group of distrusting parties P 1,..., P n to collaboratively compute a function f.
0.611989	-3.622337	-4.234326	27	Homomorphic encryption (HE) enables inference using encrypted data but it incurs 100x-10,000x memory and runtime overheads.
0.596528	-3.704183	-4.300712	37	Fractional frequency reuse (FFR) [11]- [15] is an excellent approach for improving frequency utilization as it can mitigate ICI in multicell OFDMA networks.
0.572043	-2.982534	-3.554577	31	Optimized link state routing (OLSR) protocol is a table-driven routing protocol in mobile ad hoc network routing [2], discussed in many studies.
0.568645	-2.562056	-3.130700	20	Physically Unclonable Function (PUF) is the most promising alternative for secure key storage.
0.563962	-3.410509	-3.974471	37	Recent literature has explored Federated Learning (FL) as a promising privacy-preserving machine learning alternative which enables collaborative learning of a model without exposing private raw data for short term load forecasting.
0.559177	-1.417887	-1.977064	28	Homomorphic Encryption (HE) is a type of encryption scheme that allows computations to be performed on encrypted data without decrypting it first.
0.558524	-2.525212	-3.083736	34	Personalized Federated Learning (PFL) aims to train a personalized model for each client in the FL framework so that the model can achieve better performance on the local dataset.
0.554453	-2.095473	-2.649926	25	The elliptic curve digital signature algorithm (ECDSA) is adopted to prevent a possible man-in-the-middle attack.
0.553838	-3.291640	-3.845478	27	On the other hand, differential privacy (DP) incurs unacceptable utility loss for small budgets and its privacy guarantee becomes meaningless for large budgets.
0.548647	-2.790807	-3.339454	20	Fully homomorphic encryption (FHE) schemes allow to perform arbitrary computations directly over encrypted data.
